SC1,SC2,SC3,SC4,SC5,SC6,SC7,SC8,SC9,SC10,SC11,SC12,SC13,SC14,SC15,SC16,SC17,SC18,SC19,SC20,SC21,SC22,SC23,SC24,SC25,SC26,SC27,SC28,SC29,SC30,SC31,SC32,SC33,SC34,SC35,SC36,SC37,SC38,SC39,SC40,SC41,AVERAGE
45.0,59.0,65.0,24.0,53.0,88.0,45.0,63.0,55.0,51.0,0.0,52.0,58.0,54.0,58.0,50.0,68.0,60.0,53.0,0.0,60.0,66.0,63.0,66.0,73.0,67.0,47.0,53.0,45.0,53.0,60.0,62.0,78.0,57.0,66.0,67.0,70.0,70.0,70.0,45.0,52.0,55.9
60.0,58.0,74.0,75.0,55.0,51.0,60.0,56.0,60.0,61.0,60.0,77.0,82.0,50.0,71.0,79.0,76.0,64.0,70.0,62.0,72.0,45.0,79.0,61.0,75.0,58.0,65.0,68.0,55.0,59.0,74.0,65.0,72.0,73.0,50.0,70.0,67.0,60.0,55.0,73.0,67.0,65.0
55.0,51.0,56.0,45.0,54.0,64.0,61.0,47.0,54.0,49.0,46.0,21.0,45.0,35.0,22.0,46.0,21.0,42.0,6.0,60.0,58.0,60.0,42.0,50.0,40.0,74.0,46.0,47.0,44.0,64.0,55.0,39.0,56.0,64.0,62.0,45.0,45.0,49.0,45.0,42.0,23.0,47.1
90.0,71.0,60.0,54.0,53.0,45.0,33.0,52.0,53.0,36.0,61.0,53.0,45.0,46.0,45.0,40.0,45.0,58.0,34.0,45.0,70.0,57.0,48.0,71.0,52.0,45.0,45.0,50.0,50.0,45.0,45.0,54.0,60.0,46.0,53.0,61.0,52.0,47.0,32.0,53.0,48.0,51.3
31.0,40.0,36.0,21.0,50.0,55.0,56.0,41.0,60.0,40.0,48.0,56.0,40.0,64.0,62.0,34.0,40.0,0.0,19.0,45.0,0.0,41.0,42.0,1.5,52.6,53.4,50.5,49.2,51.2,50.3,51.0,50.6,50.0,50.8,49.7,50.8,51.2,51.4,48.3,49.3,47.8,43.4
68.0,53.0,66.0,76.0,80.0,81.0,64.0,84.0,75.0,62.0,88.0,55.0,77.0,59.0,71.0,58.0,61.0,65.0,79.0,67.0,74.0,69.0,62.0,52.0,75.0,70.0,81.0,83.0,72.0,62.0,91.0,87.0,61.0,43.0,70.0,74.0,66.0,57.0,75.0,67.0,4.3,67.9
61.0,79.0,64.0,41.0,56.0,58.0,57.0,51.0,61.0,62.0,44.0,76.0,55.0,50.0,48.0,67.0,70.0,68.0,78.0,71.0,41.0,71.0,40.0,46.0,52.6,47.0,50.5,49.2,51.2,50.3,51.0,50.6,50.0,50.8,49.7,50.8,51.2,51.4,48.3,49.3,47.8,55.3
50.0,45.0,42.0,40.0,42.0,45.0,40.0,29.0,47.0,12.0,51.0,32.0,58.0,46.0,50.0,45.0,45.0,50.0,55.0,50.0,52.0,70.0,71.0,50.0,45.0,26.0,40.0,52.0,50.0,40.0,41.0,56.0,40.0,56.0,46.0,40.0,1.8,51.4,48.3,49.3,47.8,45.1
50.0,54.0,45.0,36.0,1.0,36.0,25.0,45.0,29.0,40.0,21.0,32.0,12.0,15.0,45.0,10.0,56.0,45.0,29.0,47.0,50.0,21.0,27.0,40.0,17.0,16.0,26.0,40.0,40.0,46.0,13.0,40.0,28.0,66.0,45.0,16.0,45.0,34.0,41.0,0.0,7.0,32.5
67.0,45.0,45.0,43.0,47.0,45.0,40.0,63.0,27.0,17.0,24.0,17.0,22.0,11.0,32.0,40.0,28.0,24.0,66.0,31.0,36.0,45.0,42.0,45.0,60.0,53.0,48.0,43.0,56.0,45.0,45.0,38.0,45.0,29.0,21.0,22.0,28.0,46.0,46.0,45.0,56.0,39.7
63.0,58.0,74.0,64.0,45.0,45.0,70.0,52.0,50.0,66.0,60.0,71.0,52.0,52.0,70.0,64.0,60.0,64.0,52.0,56.0,70.0,65.0,68.0,63.0,52.0,75.0,45.0,45.0,62.0,52.0,67.0,66.0,73.0,76.0,55.0,51.0,62.0,62.0,37.0,67.0,58.0,60.0
54.0,73.0,65.0,60.0,45.0,50.0,46.0,66.0,62.0,30.0,45.0,60.0,46.0,45.0,56.0,59.0,45.0,40.0,56.0,47.0,52.0,48.0,37.0,68.0,60.0,83.0,45.0,51.0,63.0,61.0,61.0,58.0,74.0,45.0,67.0,53.0,53.0,60.0,46.0,51.0,57.0,54.7
56.0,67.0,55.0,64.0,45.0,34.0,27.0,44.0,53.0,51.0,50.0,48.0,45.0,29.0,50.0,46.0,31.0,52.0,45.0,66.0,46.0,53.0,60.0,52.0,56.0,50.0,45.0,50.0,70.0,50.0,45.0,54.0,72.0,63.0,55.0,62.0,47.0,45.0,32.0,61.0,68.0,51.1
60.0,76.0,65.0,50.0,72.0,52.0,56.0,37.0,65.0,55.0,60.0,62.0,67.0,48.0,56.0,46.0,50.0,49.0,51.0,40.0,40.0,56.0,54.0,57.0,42.0,64.0,55.0,46.0,57.0,64.0,52.0,46.0,51.0,45.0,46.0,55.0,48.0,52.0,75.0,52.0,45.0,54.1
53.0,64.0,36.0,46.0,62.0,50.0,46.0,48.0,86.0,50.0,40.0,70.0,40.0,35.0,40.0,42.0,47.0,37.0,57.0,29.0,40.0,40.0,52.0,54.0,60.0,67.0,61.0,45.0,59.0,64.0,50.0,45.0,38.0,40.0,46.0,32.0,26.0,26.0,45.0,45.0,60.0,48.1
51.0,56.0,33.0,23.0,14.0,68.0,24.0,33.0,48.0,54.0,48.0,38.0,27.0,51.0,52.0,40.0,52.0,50.0,42.0,42.0,37.0,60.0,40.0,46.0,39.0,60.0,25.0,46.0,47.0,46.0,72.0,49.0,11.0,21.0,45.0,32.0,2.0,51.4,48.3,49.3,47.8,42.0
52.0,73.0,57.0,48.0,56.0,50.0,54.0,25.0,45.0,26.0,53.0,63.0,43.0,44.0,50.0,48.0,28.0,45.0,57.0,65.0,67.0,55.0,67.0,53.0,54.0,70.0,63.0,62.0,60.0,45.0,20.0,45.0,48.0,57.0,55.0,68.0,58.0,53.0,60.0,53.0,2.7,51.2
42.0,50.0,29.0,47.0,50.0,60.0,52.0,45.0,40.0,45.0,36.0,47.0,50.0,46.0,47.0,50.0,66.0,58.0,41.0,54.0,62.0,61.0,40.0,38.0,40.0,52.0,45.0,46.0,73.0,48.0,53.0,43.0,33.0,80.0,38.0,38.0,58.0,55.0,32.0,48.0,45.0,48.4
52.0,74.0,78.0,50.0,65.0,57.0,56.0,53.0,65.0,70.0,63.0,81.0,40.0,70.0,56.0,80.0,68.0,63.0,74.0,45.0,57.0,77.0,49.0,53.0,52.0,68.0,71.0,61.0,78.0,75.0,71.0,59.0,64.0,60.0,54.0,62.0,45.0,80.0,72.0,50.0,61.0,62.9
45.0,50.0,54.0,31.0,33.0,24.0,34.0,51.0,30.0,38.0,20.0,47.0,60.0,45.0,45.0,65.0,37.0,45.0,38.0,55.0,75.0,60.0,34.0,60.0,60.0,13.0,52.0,30.0,32.0,34.0,47.0,72.0,51.0,51.0,52.0,23.0,24.0,47.0,45.0,68.0,60.0,44.8
47.0,57.0,60.0,36.0,43.0,43.0,54.0,57.0,40.0,63.0,67.0,50.0,57.0,62.0,58.0,61.0,29.0,43.0,48.0,56.0,40.0,69.0,47.0,15.0,50.0,42.0,44.0,2.3,51.2,50.3,51.0,50.6,50.0,50.8,49.7,50.8,51.2,51.4,48.3,49.3,47.8,48.6
28.0,41.0,47.0,34.0,53.0,47.0,15.0,40.0,63.0,40.0,64.0,42.0,54.0,48.0,56.0,43.0,51.0,40.0,49.0,60.0,58.0,56.0,45.0,63.0,62.0,45.0,50.0,65.0,45.0,43.0,21.0,26.0,57.0,41.0,50.0,52.0,39.0,49.0,42.0,45.0,2.0,45.6
63.0,54.0,60.0,52.0,45.0,45.0,62.0,57.0,56.0,88.0,45.0,53.0,54.0,23.0,46.0,67.0,55.0,62.0,53.0,65.0,52.0,40.0,75.0,54.0,45.0,50.0,66.0,60.0,60.0,76.0,81.0,58.0,71.0,52.0,76.0,70.0,66.0,65.0,49.0,57.0,72.0,58.5
64.0,81.0,78.0,70.0,82.0,80.0,62.0,68.0,41.0,71.0,57.0,75.0,46.0,71.0,70.0,55.0,89.0,68.0,64.0,50.0,61.0,71.0,64.0,60.0,61.0,67.0,59.0,58.0,69.0,79.0,72.0,61.0,75.0,62.0,57.0,65.0,57.0,80.0,53.0,64.0,60.0,65.8
71.0,63.0,70.0,77.0,66.0,75.0,70.0,57.0,71.0,76.0,70.0,73.0,70.0,55.0,85.0,73.0,65.0,71.0,77.0,72.0,70.0,57.0,85.0,71.0,62.0,62.0,53.0,54.0,76.0,58.0,79.0,72.0,78.0,73.0,60.0,65.0,85.0,66.0,56.0,66.0,71.0,68.9
55.0,65.0,35.0,53.0,63.0,64.0,50.0,63.0,48.0,63.0,45.0,57.0,40.0,40.0,52.0,47.0,47.0,34.0,58.0,31.0,67.0,33.0,60.0,43.0,41.0,58.0,41.0,44.0,70.0,61.0,53.0,52.0,55.0,72.0,62.0,61.0,60.0,15.0,70.0,46.0,56.0,52.0
51.0,57.0,51.0,52.0,45.0,56.0,56.0,62.0,39.0,46.0,29.0,60.0,23.0,45.0,62.0,37.0,70.0,28.0,46.0,45.0,53.0,51.0,60.0,15.0,53.0,38.0,42.0,31.0,50.0,40.0,44.0,29.0,57.0,64.0,65.0,55.0,61.0,30.0,62.0,46.0,66.0,48.1
57.0,65.0,50.0,55.0,46.0,45.0,73.0,60.0,38.0,45.0,55.0,45.0,45.0,50.0,31.0,51.0,68.0,29.0,52.0,53.0,54.0,56.0,60.0,48.0,65.0,46.0,46.0,56.0,40.0,56.0,50.0,41.0,72.0,40.0,45.0,57.0,40.0,61.0,57.0,64.0,46.0,51.5
43.0,53.0,61.0,72.0,30.0,50.0,40.0,44.0,50.0,74.0,66.0,50.0,43.0,57.0,29.0,50.0,54.0,62.0,60.0,53.0,46.0,74.0,52.0,40.0,78.0,33.0,47.0,2.7,51.2,50.3,51.0,50.6,50.0,50.8,49.7,50.8,51.2,51.4,48.3,49.3,47.8,50.4
65.0,65.0,74.0,60.0,52.0,65.0,74.0,80.0,64.0,75.0,47.0,50.0,62.0,66.0,66.0,50.0,74.0,69.0,78.0,61.0,70.0,72.0,88.0,62.0,70.0,62.0,50.0,70.0,67.0,54.0,59.0,76.0,67.0,65.0,63.0,70.0,70.0,75.0,54.0,64.0,66.0,65.6
53.0,45.0,56.0,35.0,51.0,39.0,51.0,52.0,46.0,63.0,51.0,45.0,71.0,36.0,25.0,22.0,22.0,27.0,60.0,25.0,34.0,64.0,22.0,32.0,34.0,63.0,57.0,49.0,46.0,51.0,51.0,61.0,45.0,76.0,45.0,46.0,41.0,50.0,23.0,80.0,60.0,46.5
41.0,40.0,29.0,42.0,56.0,62.0,44.0,6.0,71.0,34.0,64.0,63.0,53.0,41.0,51.0,48.0,52.0,48.0,59.0,47.0,48.0,61.0,61.0,51.0,48.0,75.0,52.0,41.0,45.0,28.0,41.0,45.0,36.0,35.0,43.0,50.0,62.0,28.0,42.0,53.0,2.1,46.3
54.0,50.0,30.0,45.0,70.0,40.0,24.0,25.0,40.0,16.0,26.0,57.0,50.0,38.0,53.0,48.0,46.0,45.0,62.0,51.0,25.0,28.0,45.0,45.0,47.0,52.0,36.0,72.0,21.0,27.0,1.7,50.6,50.0,50.8,49.7,50.8,51.2,51.4,48.3,49.3,47.8,43.2
48.0,68.0,55.0,70.0,74.0,70.0,60.0,53.0,74.0,64.0,70.0,58.0,64.0,54.0,68.0,50.0,51.0,63.0,66.0,64.0,74.0,66.0,54.0,62.0,77.0,48.0,55.0,60.0,55.0,18.0,60.0,29.0,53.0,45.0,61.0,65.0,61.0,47.0,50.0,53.0,3.4,57.1
63.0,65.0,76.0,45.0,54.0,46.0,77.0,65.0,68.0,58.0,45.0,61.0,60.0,46.0,49.0,60.0,72.0,70.0,73.0,69.0,61.0,81.0,84.0,73.0,50.0,57.0,47.0,45.0,57.0,45.0,68.0,45.0,48.0,72.0,55.0,50.0,66.0,62.0,76.0,67.0,75.0,61.1
